Wall time,Step,Value
1627585575.5206425,212780,1440.0
1627585721.6134758,213100,1440.0
1627585873.4316854,213440,1440.0
1627586236.584795,214240,1440.0
1627586572.655387,214980,1440.0
1627586655.0063608,215160,1440.0
1627586664.189688,215180,1440.0
1627586864.001263,215620,1440.0
1627586928.1424584,215760,1440.0
1627587181.7786992,216320,1440.0
1627587271.963349,216520,1440.0
1627587318.5005453,216620,1440.0
1627587418.9564037,216840,1440.0
1627587501.7853208,217020,1440.0
1627587630.8064697,217300,1440.0
1627587979.918511,218060,1440.0
1627588007.222589,218120,1440.0
1627588317.856339,218800,1440.0
1627588354.1837547,218880,1440.0
1627588565.0985096,219340,1440.0
1627588620.2640553,219460,1440.0
1627588638.5293171,219500,1440.0
1627589004.5664494,220300,1440.0
1627589058.716459,220420,1440.0
1627589178.732026,220680,1440.0
1627589224.4465928,220780,1440.0
1627589807.74115,222060,1440.0
1627589978.1349766,222440,1440.0
1627590060.6952014,222620,1440.0
1627590224.6093059,222980,1440.0
1627590471.4025862,223520,1440.0
1627590681.0726624,223980,1440.0
1627590698.607469,224020,1440.0
1627590707.3412235,224040,1440.0
1627591242.3098223,225220,1440.0
1627591352.618947,225460,1440.0
1627591696.1101227,226220,1440.0
1627592157.8651433,227240,1440.0
1627592688.282967,228400,1440.0
1627593012.0672927,229120,1440.0
1627593166.8943708,229460,1440.0
1627593348.7684765,229860,1440.0
1627593635.5369735,230480,1440.0
1627593716.5181382,230660,1440.0
1627593871.668197,231000,1440.0
1627593944.10236,231160,1440.0
1627594026.1318235,231340,1440.0
1627594308.8053963,231960,1440.0
1627594664.3833332,232740,1440.0
1627594774.2431939,232980,1440.0
1627594883.5970724,233220,1440.0
1627594983.5191216,233440,1440.0
1627595109.0594423,233720,1440.0
1627595127.4031665,233760,1440.0
1627595455.6547801,234480,1440.0
1627595784.6377547,235200,1440.0
1627596029.8694456,235740,1440.0
1627596166.053053,236040,1440.0
1627596436.947156,236640,1440.0
1627596821.3462873,237480,1440.0
1627597368.2635381,238680,1440.0
1627597488.2926526,238940,1440.0
1627597506.4508586,238980,1440.0
1627597699.4702349,239400,1440.0
1627597743.7829866,239500,1440.0
1627597868.4462755,239780,1440.0
1627597958.70048,239980,1440.0
1627598005.7747006,240080,1440.0
1627598068.524973,240220,1440.0
1627598241.6476412,240600,1440.0
1627598351.6780314,240840,1440.0
1627599237.7312756,242780,1440.0
1627599374.275275,243080,1440.0
1627599474.5827308,243300,1440.0
1627599511.1912365,243380,1440.0
1627599657.0613017,243700,1440.0
1627599955.2391777,244360,1440.0
1627600035.553293,244540,1440.0
1627600617.7992344,245820,1440.0
1627600644.9740012,245880,1440.0
1627600790.8951511,246200,1440.0
1627601577.5682192,247940,1440.0
1627601659.7666714,248120,1440.0
1627601941.4919162,248740,1440.0
1627602142.8420336,249180,1440.0
1627602341.3914733,249620,1440.0
1627602935.4630706,250920,1440.0
1627603008.9402735,251080,1440.0
1627603400.6791866,251940,1440.0
1627603666.540718,252520,1440.0
1627604086.1069646,253440,1440.0
1627604341.2475991,254000,1440.0
1627604877.9067245,255180,1440.0
1627605024.3793936,255500,1440.0
1627605306.3062625,256120,1440.0
1627605568.8865614,256700,1440.0
1627605794.6829453,257200,1440.0
1627605839.8035607,257300,1440.0
1627605956.58963,257560,1440.0
1627606127.114924,257940,1440.0
1627606520.218767,258800,1440.0
1627606701.9823842,259200,1440.0
1627607232.3202548,260360,1440.0
1627607389.0012124,260700,1440.0
1627607634.786178,261240,1440.0
1627607643.562311,261260,1440.0
1627607715.9396355,261420,1440.0
1627607825.8089173,261660,1440.0
1627607934.3345532,261900,1440.0
1627608071.2757118,262200,1440.0
1627608107.988142,262280,1440.0
1627608263.8457205,262620,1440.0
1627608592.1867535,263340,1440.0
1627608727.1564746,263640,1440.0
1627608819.1278684,263840,1440.0
1627608846.687072,263900,1440.0
1627608955.5729094,264140,1440.0
1627608964.810507,264160,1440.0
1627609001.0726683,264240,1440.0
1627609258.294514,264800,1440.0
1627609933.1818156,266280,1440.0
1627610259.7031884,267000,1440.0
1627610742.2117393,268060,1440.0
1627610779.7058682,268140,1440.0
1627610963.2146902,268540,1440.0
1627611414.0662882,269520,1440.0
1627611678.3635478,270100,1440.0
1627612062.6452131,270940,1440.0
1627612527.1478686,271960,1440.0
1627612663.6178749,272260,1440.0
1627612734.857104,272420,1440.0
1627612788.6191025,272540,1440.0
1627613271.8119755,273600,1440.0
1627613298.8415983,273660,1440.0
1627613416.8502572,273920,1440.0
1627613662.6880248,274460,1440.0
1627613890.1725395,274960,1440.0
1627613953.847207,275100,1440.0
1627614155.2572355,275540,1440.0
1627614465.2543297,276220,1440.0
1627614783.2328591,276920,1440.0
1627614991.6405926,277380,1440.0
1627615138.145617,277700,1440.0
1627615620.7117841,278760,1440.0
1627615803.4745402,279160,1440.0
1627615831.01918,279220,1440.0
1627615912.1438577,279400,1440.0
1627615921.2222145,279420,1440.0
1627615976.7021773,279540,1440.0
1627616159.545946,279940,1440.0
1627616177.6680696,279980,1440.0
1627616925.3599813,281620,1440.0
1627617658.042482,283240,1440.0
1627618207.434591,284440,1440.0
1627618262.0776312,284560,1440.0
1627618471.5015001,285020,1440.0
1627618807.7491128,285760,1440.0
1627618817.1751804,285780,1440.0
1627618871.6804676,285900,1440.0
1627618952.9963586,286080,1440.0
1627619107.2655733,286420,1440.0
1627619216.3890464,286660,1440.0
1627619271.1190202,286780,1440.0
1627619808.514106,287960,1440.0
1627620264.35128,288960,1440.0
1627620692.6535783,289900,1440.0
1627621022.198108,290620,1440.0
1627621242.532596,291100,1440.0
1627621270.0854757,291160,1440.0
1627621950.787437,292660,1440.0
1627622005.9745321,292780,1440.0
1627622278.3231483,293380,1440.0
1627622360.6609337,293560,1440.0
1627622397.3724024,293640,1440.0
1627622452.9340484,293760,1440.0
1627622990.6107626,294940,1440.0
1627623292.061677,295600,1440.0
1627623301.2992413,295620,1440.0
1627623374.2266045,295780,1440.0
1627623410.0829856,295860,1440.0
1627623567.2598867,296200,1440.0
1627623622.6197765,296320,1440.0
1627623906.4442039,296940,1440.0
1627624150.7474525,297480,1440.0
1627624324.4431877,297860,1440.0
1627624623.7565987,298520,1440.0
1627624632.8998475,298540,1440.0
1627624851.1334465,299020,1440.0
1627625555.777332,300560,1440.0
1627626132.5583382,301820,1440.0
1627626512.9923248,302660,1440.0
1627626550.0944002,302740,1440.0
1627626952.8088136,303620,1440.0
1627627124.2529993,304000,1440.0
1627627458.5728748,304740,1440.0
1627627733.976057,305340,1440.0
1627627797.777459,305480,1440.0
1627628261.3009405,306500,1440.0
1627628416.8616502,306840,1440.0
1627628471.0301583,306960,1440.0
1627629156.6425571,308460,1440.0
1627629210.9657662,308580,1440.0
1627629467.3472576,309140,1440.0
1627629617.7671432,309480,1440.0
1627629635.3651724,309520,1440.0
1627629928.2251842,310160,1440.0
1627630213.3901076,310780,1440.0
1627630751.9890654,311960,1440.0
1627630853.1304986,312180,1440.0
1627632054.0417707,314820,1440.0
1627632273.4141722,315300,1440.0
1627632356.0474002,315480,1440.0
1627632409.3393233,315600,1440.0
1627632827.6213422,316520,1440.0
1627632854.5035474,316580,1440.0
1627633028.0468862,316960,1440.0
1627633201.0890894,317340,1440.0
1627634228.338317,319600,1440.0
1627634301.293528,319760,1440.0
1627634354.7777627,319880,1440.0
1627634932.8217552,321140,1440.0
1627635288.1992881,321920,1440.0
1627635479.9198272,322340,1440.0
1627636014.5988986,323520,1440.0
1627636132.4824138,323780,1440.0
1627636224.035864,323980,1440.0
1627636260.2234917,324060,1440.0
1627636686.634379,325000,1440.0
1627637341.4075568,326440,1440.0
1627637541.3976629,326880,1440.0
1627637698.1376376,327220,1440.0
1627637879.1807685,327620,1440.0
1627638115.6202981,328140,1440.0
1627638426.839557,328820,1440.0
1627638507.9794376,329000,1440.0
1627639021.3913076,330120,1440.0
1627639512.7497532,331200,1440.0
1627639749.8232296,331720,1440.0
1627639796.5461926,331820,1440.0
1627640443.5029879,333240,1440.0
1627640480.3786452,333320,1440.0
1627640771.9972994,333960,1440.0
1627641217.1469307,334940,1440.0
1627641689.2954562,335980,1440.0
1627641780.5861387,336180,1440.0
1627641790.016384,336200,1440.0
1627642018.6197648,336700,1440.0
1627642099.5587053,336880,1440.0
1627642226.8520281,337160,1440.0
1627642608.7589228,338000,1440.0
1627642834.4209764,338500,1440.0
1627643521.7641203,340000,1440.0
1627644134.023933,341340,1440.0
1627644416.7860825,341960,1440.0
1627644723.2579398,342640,1440.0
1627644932.8869443,343100,1440.0
1627645279.1032004,343860,1440.0
1627645325.0342848,343960,1440.0
1627645370.7322109,344060,1440.0
1627645707.4095657,344800,1440.0
1627645779.4146938,344960,1440.0
1627645907.950204,345240,1440.0
1627646008.9279046,345460,1440.0
1627646171.504722,345820,1440.0
1627646189.7996004,345860,1440.0
1627646398.7053933,346320,1440.0
1627646407.7751713,346340,1440.0
1627646417.3167326,346360,1440.0
1627646444.799141,346420,1440.0
1627646618.0387907,346800,1440.0
1627646934.862702,347500,1440.0
1627647087.933929,347840,1440.0
1627647215.916778,348120,1440.0
1627647408.3510315,348540,1440.0
1627647500.0827959,348740,1440.0
1627647571.6483276,348900,1440.0
1627647663.3532138,349100,1440.0
1627648110.2247357,350080,1440.0
1627648183.8963075,350240,1440.0
1627648476.8944345,350880,1440.0
1627648603.319609,351160,1440.0
1627648656.7298052,351280,1440.0
1627648782.5566354,351560,1440.0
1627648862.9561787,351740,1440.0
1627648927.6230006,351880,1440.0
1627648936.7527573,351900,1440.0
1627648973.2176666,351980,1440.0
1627649200.8177092,352480,1440.0
1627649291.452191,352680,1440.0
1627649474.002503,353080,1440.0
1627649597.8011417,353360,1440.0
1627649925.8660557,354080,1440.0
1627649999.866567,354240,1440.0
1627650098.3959959,354460,1440.0
1627650546.6509717,355440,1440.0
1627650555.9796426,355460,1440.0
1627650600.6729164,355560,1440.0
1627650847.5040221,356100,1440.0
1627651195.762118,356860,1440.0
1627652201.975729,359080,1440.0
1627652284.9730117,359260,1440.0
1627652429.7872875,359580,1440.0
1627652457.522805,359640,1440.0
1627652539.772799,359820,1440.0
1627652795.7062886,360380,1440.0
1627653105.9330053,361060,1440.0
1627653115.2743354,361080,1440.0
1627653225.4263566,361320,1440.0
1627653580.5836306,362100,1440.0
1627653808.5504181,362600,1440.0
